Hyperparameter Evaluation Log

Program finished in 44.945249199998216 seconds
Best parameters: {'n_estimators': 95, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.966903073286052
Params: {'n_estimators': 12, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 92, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 33, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9385342789598109
Params: {'n_estimators': 12, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9219858156028369
Params: {'n_estimators': 96, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 48, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 13, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.8912529550827423
Params: {'n_estimators': 53, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 63, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 13, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9243498817966903
Params: {'n_estimators': 33, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 13, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 33, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 48, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 13, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 53, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 92, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 13, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 13, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.8888888888888888
Params: {'n_estimators': 63, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.950354609929078
Params: {'n_estimators': 86, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 33, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 13, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 53, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 48, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 13, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 96, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 33, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 13, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.900709219858156
Params: {'n_estimators': 92, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 64, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 14, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9196217494089834
Params: {'n_estimators': 14, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 53, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 48, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 33, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 14, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 14, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9219858156028369
Params: {'n_estimators': 86, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 64, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 14, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 33, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 14, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.8841607565011821
Params: {'n_estimators': 48, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 53, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 96, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.950354609929078
Params: {'n_estimators': 14, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 92, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 33, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 64, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 14, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9243498817966903
Params: {'n_estimators': 14, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 53, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 48, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 15, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 86, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 33, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 15, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9148936170212766
Params: {'n_estimators': 15, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.8983451536643026
Params: {'n_estimators': 34, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9408983451536643
Params: {'n_estimators': 64, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.950354609929078
Params: {'n_estimators': 15, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.900709219858156
Params: {'n_estimators': 53, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 48, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 15, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9125295508274232
Params: {'n_estimators': 34, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 92, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 96, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9408983451536643
Params: {'n_estimators': 15, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.91725768321513
Params: {'n_estimators': 34, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 15, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 86, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9408983451536643
