Program finished in 119.14147760003107 seconds
Best parameters: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9763593380614657
Params: {'C': 1.2742749857031335, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.6690307328605201
Params: {'C': 7.847599703514606, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9361702127659575
Params: {'C': 7.847599703514606, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9361702127659575
Params: {'C': 7.847599703514606, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.6666666666666666
Params: {'C': 26.366508987303583, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 26.366508987303583, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.7541371158392435
Params: {'C': 26.366508987303583, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9148936170212766
Params: {'C': 545.5594781168514, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 545.5594781168514, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.8699763593380615
Params: {'C': 26.366508987303583, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.028368794326241134
Params: {'C': 26.366508987303583, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 162.3776739188721, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9645390070921985
Params: {'C': 48.32930238571752, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9692671394799054
Params: {'C': 1.2742749857031335, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.950354609929078
Params: {'C': 1.2742749857031335, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.557919621749409
Params: {'C': 1.2742749857031335, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9148936170212766
Params: {'C': 1.2742749857031335, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.07801418439716312
Params: {'C': 1.2742749857031335, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.01, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.36879432624113473
Params: {'C': 7.847599703514606, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9574468085106383
Params: {'C': 7.847599703514606, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.6548463356973995
Params: {'C': 545.5594781168514, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 7.847599703514606, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9148936170212766
Params: {'C': 545.5594781168514, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.8699763593380615
Params: {'C': 545.5594781168514, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9101654846335697
Params: {'C': 545.5594781168514, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.0425531914893617
Params: {'C': 162.3776739188721, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9645390070921985
Params: {'C': 162.3776739188721, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.8439716312056738
Params: {'C': 545.5594781168514, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 48.32930238571752, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 48.32930238571752, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.7990543735224587
